Academic_Reputation,Citations_per_Pape,Employer_Reputation,H_index_Citations,Overall_score,Ranking,Region,University_Name
100,94,100,93.3,98.7,1,United States,Harvard University
95.1,98.6,96.1,88.4,95.1,2,United States,Massachusetts Institute of Technology (MIT)
95.2,90.2,92.8,85.6,93,3,United States,Stanford University
,,,,,4,,
,,,,,5,,
91.4,100,82.3,100,90.4,6,United States,University of Pennsylvania
92.6,100,78.9,96.8,89.7,7,United States,University of Chicago
,,,,,8,,
90.8,94.9,86,83.6,89.1,9,United States,"University of California, Berkeley (UCB)"
84.7,84.9,91.3,84.6,86.7,10,Australia,墨尔本大学The University of Melbourne
84.6,86.3,88.4,92.5,86.7,10,Australia,The University of New South Wales (UNSW Sydney)
89,96.4,78.3,89.2,86.6,12,United States,New York University (NYU)
86.4,92.1,82.8,90.1,86.3,13,United States,Columbia University
,,,,,14,,
86.6,85.4,86.7,79.2,85.8,15,United States,Yale University
87.3,83.7,83.2,76.7,84.7,16,Hong Kong,The Hong Kong University of Science and Technology
84.6,78.2,89.6,74,84.4,17,Singapore,National University of Singapore (NUS)
81.9,84.7,88.2,84.6,84.3,18,Australia,悉尼大学The University of Sydney
85.5,84.8,84.7,74,84,19,United States,"University of California, Los Angeles (UCLA)"
,,,,,20,,
81.1,90.9,82.1,85.6,82.8,21,Hong Kong,The Chinese University of Hong Kong (CUHK)
82.3,86.5,81.3,81.5,82.3,22,United States,Princeton University
79.7,80.3,87,81.5,82.1,23,Australia,蒙纳士大学Monash University
80.1,74.5,90.9,69.5,81.7,24,China,Peking University
80.2,89.1,80.3,85.6,81.7,24,Canada,University of Toronto
81.3,82.9,84.2,74,81.6,26,Singapore,"Nanyang Technological University, Singapore (NTU)"
79.1,85,83.4,84.6,81.5,27,Australia,澳大利亚国立大学The Australian National University
80.8,81.3,85.9,71.1,81.4,28,Hong Kong,The University of Hong Kong
79.5,90.5,77.5,90.9,81.1,29,United States,Cornell University
78.1,83.7,86.3,78,81.1,29,Italy,Bocconi University
80.6,91.2,76.2,83.6,80.6,31,United States,University of Michigan
,,,,,32,,
80.9,82.9,79.1,76.7,80.1,32,Canada,University of British Columbia
82.5,88.5,72.9,80.4,80,34,United States,Northwestern University
76.4,76.4,90,71.1,80,34,China,Tsinghua University
79.7,75.1,83.2,75.4,79.9,36,France,HEC Paris School of Management
80.7,90.9,72.7,83.6,79.6,37,United States,University of Texas at Austin
75.8,87.5,81.3,83.6,79.4,38,Australia,昆士兰大学The University of Queensland
,,,,,39,,
79.1,61.5,89.6,57.8,78.4,40,Japan,The University of Tokyo
76.3,78.7,81.1,79.2,78.3,41,New Zealand,The University of Auckland
83,64,83.4,52.6,78.2,42,France,INSEAD
77.6,93.8,71.3,85.6,78.1,43,United States,Duke University
76.7,71.1,85.5,67.8,77.9,44,South Korea,Seoul National University
75.4,85.2,75.7,81.5,77.1,45,Hong Kong,City University of Hong Kong
72.4,76.8,83.4,72.6,76.2,46,South Korea,Korea University
73.2,82.5,75.8,83.6,76,47,Hong Kong,The Hong Kong Polytechnic University
73.9,74.8,78.8,78,75.9,48,Taiwan,National Taiwan University (NTU)
78.4,87.2,65.7,82.6,75.9,48,United States,University of Illinois at Urbana-Champaign
78.1,88.2,65.2,83.6,75.8,50,Denmark,Copenhagen Business School
72.2,71.1,85.5,69.5,75.8,50,China,Shanghai Jiao Tong University
99.1,91.6,100,99.3,98.6,1,United States,Harvard University
99.4,93.5,93.9,85.1,95.7,2,France,INSEAD
,,,,,3,,
94.1,92.4,96.1,94.1,94.5,4,United States,Massachusetts Institute of Technology (MIT)
96.3,93.4,87.6,100,93.8,5,United States,University of Pennsylvania
94.7,87.2,93.8,90.5,93.3,6,United States,Stanford University
,,,,,7,,
,,,,,8,,
,,,,,9,,
90.9,88.5,86.1,90.5,89.2,10,Italy,Bocconi University
90.2,87.7,84.2,91,88.2,11,United States,"University of California, Berkeley (UCB)"
88.4,92.6,85,82.5,87.2,12,France,HEC Paris School of Management
89.2,90.9,80.8,91.9,87.1,13,United States,Northwestern University
82.2,86.2,92,93.7,86.7,14,Australia,墨尔本大学The University of Melbourne
85.9,81.7,88.5,87.9,86.5,15,Singapore,National University of Singapore (NUS)
87,91.8,83.6,85.1,86.3,16,Hong Kong,The Hong Kong University of Science and Technology
93,88.2,69.4,98.3,86,17,Denmark,Copenhagen Business School
84.4,86.9,85.6,91,85.7,18,United States,Columbia University
85.2,89.8,85.1,85.7,85.7,18,United States,"University of California, Los Angeles (UCLA)"
85.7,90.5,82.6,86.8,85.4,20,United States,University of Chicago
84.2,88.2,85.9,83.8,85.1,21,United States,Yale University
79.8,86.2,86.7,97.2,84.3,22,Australia,The University of New South Wales (UNSW Sydney)
85.6,85.3,80.7,82.5,83.8,23,United States,New York University (NYU)
,,,,,24,,
82.2,89.3,78.9,95.3,83.2,24,United States,University of Michigan
79.4,86.8,86,88.5,83,26,Hong Kong,The University of Hong Kong
82.7,92.3,79,83.1,82.6,27,Spain,Universitat Ramon Llull
77.6,82.6,89.7,84.4,82.4,28,China,Peking University
75.5,86.6,86,98.7,82.1,29,Australia,蒙纳士大学Monash University
86.4,89,66.9,95.3,81.7,30,Netherlands,Erasmus University Rotterdam
81,90.9,78.7,84.4,81.6,31,Spain,University of Navarra
75.8,84.7,86.2,93.3,81.6,31,Australia,悉尼大学The University of Sydney
79.4,87,81.9,85.7,81.5,33,Hong Kong,The Chinese University of Hong Kong (CUHK)
,,,,,34,,
,,,,,35,,
74.3,86.7,86.8,86.3,80.5,36,South Korea,Seoul National University
74.2,82.5,88.3,84.4,80.3,37,China,Tsinghua University
78,90,77.8,87.4,80.1,38,Canada,University of British Columbia
76.1,90.5,76.7,98.7,80,39,Hong Kong,The Hong Kong Polytechnic University
77.3,82.6,82.4,83.1,79.9,40,Singapore,"Nanyang Technological University, Singapore (NTU)"
78.1,87,76.5,90.5,79.8,41,United States,Cornell University
75.3,86.6,81.4,90.5,79.8,41,Canada,University of Toronto
76.4,89.1,76.6,95.7,79.7,43,Hong Kong,City University of Hong Kong
75.5,89.1,79.5,91.9,79.7,43,New Zealand,The University of Auckland
76.8,91.3,76.3,91.9,79.6,45,Switzerland,University of St.Gallen (HSG)
77.1,90.6,77,87.9,79.5,46,United States,Duke University
73.6,83.7,85.4,83.8,79.2,47,South Korea,Korea University
73.1,84.2,84.5,87.4,79.1,48,China,Shanghai Jiao Tong University
74.9,82,81.5,85.7,78.7,49,Australia,澳大利亚国立大学The Australian National University
73.4,82.5,83.7,81.8,78.2,50,China,Fudan University
77.6,88.8,72,89.5,78.2,50,United States,University of Texas at Austin
100,90.9,100,100,97.7,1,United States,Harvard University
95,100,96.8,90.9,95.4,2,United States,Massachusetts Institute of Technology (MIT)
,,,,,3,,
,,,,,4,,
95,89.4,93.3,90.7,92.4,5,United States,Stanford University
95.2,89.7,89.6,80.4,89.6,6,United States,"University of California, Berkeley (UCB)"
90.1,86.6,77.5,85.9,86.9,7,United States,"University of California, San Diego (UCSD)"
89.9,85.7,88.2,82.9,86.9,7,United States,Yale University
89.6,84.6,83.8,83.5,86.2,9,United States,"University of California, Los Angeles (UCLA)"
86.8,83.9,79.9,87.3,85.5,10,United States,Johns Hopkins University
94.3,89,81.8,68.2,85.2,11,United States,California Institute of Technology (Caltech)
96.5,80.8,84.7,70.8,85,12,Switzerland,ETH Zurich - Swiss Federal Institute of Technology
86.7,84.4,82.8,82.7,84.7,13,United States,Cornell University
,,,,,14,,
90.6,77.1,89.3,79.2,84.2,15,Japan,The University of Tokyo
83,81.4,91.2,85.5,84,16,Canada,University of Toronto
82.5,86.3,81.9,83.2,83.6,17,United States,Columbia University
90.4,87.2,86.2,66.3,83.2,18,United States,Princeton University
,,,,,19,,
79.6,92,58.5,89.1,83,20,United States,"University of California, San Francisco"
88.1,79.2,87.2,76.6,82.9,21,Singapore,National University of Singapore (NUS)
78.3,85.1,80.3,86.7,82.3,22,United States,University of Pennsylvania
82.4,79.5,91,79.3,81.8,23,Australia,墨尔本大学The University of Melbourne
,,,,,24,,
80.6,83.4,72.3,85.5,81.7,24,United States,University of Washington
77.6,83.1,79,87.4,81.6,26,United States,University of Michigan
80.9,86,78,78.4,81.3,27,United States,University of Chicago
85.7,78.2,87.2,73.6,81,28,Japan,Kyoto University
88.9,78.8,70.4,73.4,80.7,29,United States,"University of California, Davis"
80.2,80.4,77.1,82,80.4,30,Denmark,University of Copenhagen
79.7,79.2,81.1,82.2,80.3,31,Sweden,Karolinska Institutet
79.7,82,79.4,79.2,80.1,32,United States,Duke University
83.5,79.1,81.5,74.6,80,33,Canada,University of British Columbia
81.5,95.6,36.4,76.5,79.3,34,United States,The Rockefeller University
81.1,78.1,84,75.9,79.3,34,Australia,昆士兰大学The University of Queensland
78.6,79.9,76.2,79.7,79,36,Germany,Ludwig-Maximilians-Universität München
77.1,77.9,88.8,77.3,78.5,37,Canada,McGill University
83.1,74.6,89,69.6,78.2,38,China,Peking University
75.3,86.1,71.3,77.3,78.1,39,United States,New York University (NYU)
78.2,80.5,73.7,76.4,77.9,40,Germany,Ruprecht-Karls-Universität Heidelberg
81.9,80.7,62.4,74.9,77.9,40,United States,University of Wisconsin-Madison
73.1,86.5,56.2,85.5,77.9,40,United States,Washington University in St. Louis
76.7,85.8,81.1,67.3,77.1,43,Switzerland,Ecole Polytechnique Fédérale de Lausanne (EPFL)
87.5,78,85.8,55.7,77,44,Australia,澳大利亚国立大学The Australian National University
80.4,76.5,87.5,67,76.8,45,China,Tsinghua University
75,82.7,73,75.1,76.8,45,Switzerland,University of Zurich
,,,,,47,,
75.9,77.6,88,71.7,76.5,48,Australia,蒙纳士大学Monash University
83.8,76.8,76.4,63.1,76.1,49,Netherlands,Wageningen University
,,,,,50,,
82.1,76.2,84.3,62.7,76,50,Hong Kong,The University of Hong Kong
81,78.1,62.8,71.3,76,50,Sweden,Uppsala University
100,91.1,98.1,80.1,95.1,1,United States,Massachusetts Institute of Technology (MIT)
,,,,,2,,
,,,,,3,,
