name,num,rank,score
肖申克的救赎,1031537,1,9.6
霸王别姬,750704,2,9.5
这个杀手不太冷,965626,3,9.4
阿甘正传,821779,4,9.4
美丽人生,479946,5,9.5
千与千寻,769347,6,9.3
泰坦尼克号,761231,7,9.3
辛德勒的名单,436824,8,9.4
盗梦空间,859679,9,9.3
机器人总动员,563732,10,9.3
三傻大闹宝莱坞,773303,11,9.2
海上钢琴师,661664,12,9.2
忠犬八公的故事,534612,13,9.2
放牛班的春天,517221,14,9.2
大话西游之大圣娶亲,565935,15,9.2
楚门的世界,538389,16,9.1
龙猫,477596,17,9.1
教父,388026,18,9.2
熔炉,312457,19,9.2
星际穿越,566218,20,9.2
乱世佳人,301355,21,9.2
触不可及,419775,22,9.2
无间道,462056,23,9.0
当幸福来敲门,611593,24,8.9
天堂电影院,339841,25,9.1
怦然心动,640379,26,8.9
十二怒汉,192453,27,9.4
搏击俱乐部,436589,28,9.0
少年派的奇幻漂流,645012,29,9.0
蝙蝠侠：黑暗骑士,371531,30,9.1
鬼子来了,262246,31,9.2
活着,309209,32,9.1
指环王3：王者无敌,316968,33,9.1
天空之城,372618,34,9.0
疯狂动物城,591953,35,9.2
大话西游之月光宝盒,455625,36,8.9
罗马假日,429033,37,8.9
飞屋环游记,558486,38,8.9
窃听风暴,251610,39,9.1
控方证人,113724,40,9.6
两杆大烟枪,298371,41,9.1
飞越疯人院,303116,42,9.0
闻香识女人,361557,43,8.9
哈尔的移动城堡,397058,44,8.9
海豚湾,197140,45,9.3
辩护人,239933,46,9.1
V字仇杀队,468145,47,8.8
死亡诗社,311419,48,9.0
教父2,209162,49,9.1
美丽心灵,336088,50,8.9
指环王2：双塔奇兵,298180,51,9.0
指环王1：魔戒再现,333720,52,8.9
摔跤吧！爸爸,524171,53,9.1
情书,414451,54,8.8
饮食男女,225802,55,9.1
美国往事,192982,56,9.1
狮子王,311357,57,8.9
钢琴家,221897,58,9.0
天使爱美丽,523190,59,8.7
